"Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
"4,962","4,962","29,007","29,007","2,748",2023
577,577,"3,373","3,373",319,2023
0,0,672,672,183,2023
0,0,174,174,51,2023
0,0,"473,183","473,183","138,682",2023
"742,069","742,069","755,348","755,348","2,224,784",2023
"44,161,369","44,161,369","44,963,757","44,963,757","4,324,056",2023
"825,338","825,338","16,326,274","16,326,274","1,529,006",2023
"6,696,935","6,696,935","6,822,871","6,822,871","597,950",2023
0,0,0,0,0,2023
0,0,"1,755,486","1,755,486","514,504",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"900,909","900,909","914,423","914,423","48,678",2023
"2,138","2,138","12,437","12,437",726,2023
"1,063,526","1,063,526","1,097,467","1,097,467","81,451",2023
"13,221,623","13,221,623","13,638,918","13,638,918","1,314,083",2023
0,0,"671,222","671,222","196,724",2023
0,0,"527,130","527,130","154,493",2023
0,0,"898,385","898,385","263,302",2023
0,0,"1,172,054","1,172,054","343,509",2023
0,0,"1,551,357","1,551,357","454,677",2023
0,0,"1,114,256","1,114,256","326,570",2023
0,0,"1,396,935","1,396,935","409,418",2023
0,0,"796,330","796,330","233,391",2023
0,0,"758,127","758,127","222,194",2023
0,0,"625,088","625,088","183,203",2023
0,0,"405,268","405,268","118,777",2023
584,584,"3,376","3,376",108,2023
"774,946","774,946","18,557,366","18,557,366","1,745,277",2023
"17,916,108","17,916,108","18,414,561","18,414,561","1,654,380",2023
183,183,"1,135","1,135",-121,2023
0,0,0,0,0,2023
0,0,"249,394","249,394","73,093",2023
0,0,"1,075,738","1,075,738","315,281",2023
0,0,"102,564,495","102,564,495","9,813,139",2023
0,0,"107,203,558","107,203,558","10,256,994",2023
0,0,"112,360,276","112,360,276","10,750,377",2023
0,0,0,0,0,2023
"3,852,481","3,852,481","3,852,481","3,852,481","78,686",2023
0,0,"1,546,909","1,546,909","453,373",2023
0,0,"3,659,890","3,659,890","1,072,652",2023
0,0,"15,417","15,417","4,518",2023
"1,032","1,032","6,005","6,005",462,2023
"5,011,555","5,011,555","5,302,682","5,302,682","413,607",2023
0,0,"55,045","55,045","16,133",2023
0,0,0,0,"459,948",2023
"8,496,898","8,496,898","8,697,144","8,697,144","881,394",2023
"2,093","2,093","11,930","11,930",982,2023
"240,964","240,964","4,070,132","4,070,132","360,877",2023
"4,763","4,763","27,407","27,407","2,520",2023
0,0,0,0,0,2023
"716,995","716,995","11,707,795","11,707,795","1,092,983",2023
0,0,"28,859","28,859","8,383",2023
0,0,"31,007","31,007","9,088",2023
23,23,127,127,9,2023
502,502,"2,844","2,844",-372,2023
335,335,"1,900","1,900",-445,2023
0,0,"98,303","98,303","28,811",2023
0,0,"6,630","6,630","1,943",2023
"3,671","3,671","21,383","21,383","2,080",2023
891,891,"5,189","5,189",242,2023
0,0,"240,865","240,865","70,593",2023
0,0,"469,718","469,718","137,666",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"414,138","414,138","414,138","414,138","37,067",2023
0,0,0,0,0,2023
0,0,"674,850","674,850","197,787",2023
0,0,"1,030,723","1,030,723","302,088",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"175,675","117,802","2,687,354","1,801,878","143,360",2023
0,0,0,0,0,2023
0,0,"76,507","76,507","22,423",2023
"52,451","52,451","305,265","305,265",-140,2023
0,0,"37,539","37,539","11,002",2023
0,0,166,166,49,2023
"1,312","1,312","7,610","7,610",731,2023
"1,404","1,404","8,101","8,101",507,2023
0,0,"273,964","273,964","80,294",2023
"1,197","1,197","6,586","6,586",890,2023
"108,333","108,333","108,333","108,333",525,2023
"20,240","20,240","118,203","118,203","8,132",2023
"2,019,610","2,019,610","2,201,375","2,201,375","151,455",2023
0,0,0,0,0,2023
"1,140","1,140",0,0,"-1,140",2023
"143,991","143,991","153,726","153,726","13,711",2023
"997,476","997,476","17,424,366","17,424,366","1,570,919",2023
"30,666","30,666","179,240","179,240","18,686",2023
0,0,0,0,0,2023
"3,162","3,162","17,193","17,193","1,486",2023
"2,157","2,157","1,941","1,941",168,2023
"1,050,073","1,050,073","19,039,482","19,039,482","1,786,052",2023
279,279,"1,607","1,607",90,2023
"6,097,092","6,097,092","6,256,542","6,256,542","640,869",2023
0,0,0,0,"566,262",2023
"9,560,059","9,560,059","9,808,164","9,808,164","1,005,942",2023
0,0,0,0,0,2023
"16,067,509","16,067,509","16,492,508","16,492,508","1,465,352",2023
"304,455","304,455","312,114","312,114","15,831",2023
0,0,0,0,0,2023
"2,386,149","2,386,149","2,410,011","2,410,011","175,612",2023
0,0,0,0,0,2023
"1,472","1,472","8,506","8,506",771,2023
"2,637,218","2,637,218","2,702,789","2,702,789","234,466",2023
"15,297","15,297","15,679","15,679","1,307",2023
0,0,0,0,0,2023
"18,017","18,017","18,504","18,504","1,310",2023
0,0,0,0,0,2023
"10,047","6,549","10,349","6,745",586,2023
"5,149,167","5,149,167","5,304,666","5,304,666","595,072",2023
0,0,0,0,0,2023
"9,170,305","9,076,717","9,445,415","9,349,019","795,280",2023
0,0,0,0,0,2023
"3,527,656","3,527,656","86,205,906","86,205,906","8,418,121",2023
"55,056","55,056","318,776","318,776","31,113",2023
0,0,0,0,0,2023
0,0,0,0,"2,022,422",2023
"37,204,617","37,204,617","38,023,656","38,023,656","3,970,634",2023
"1,725,826","1,725,826","41,402,133","41,402,133","3,870,160",2023
"34,017","34,017","192,301","192,301","17,624",2023
"30,545","30,545",0,0,"-6,452",2023
0,0,0,0,0,2023
"248,440","248,440","255,227","255,227","21,024",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"1,498,772","1,498,772","1,539,620","1,539,620","137,508",2023
0,0,"75,950","75,950","22,207",2023
"43,429","43,429",0,0,"105,367",2023
"160,670","160,670","164,668","164,668","465,991",2023
"8,906,180","8,906,180","9,135,998","9,135,998","788,493",2023
363,363,"2,106","2,106",68,2023
"68,987","68,987","70,882","70,882","3,959",2023
0,0,"59,357","59,357","17,388",2023
"17,358","17,358",0,0,"50,442",2023
0,0,"337,532","337,532","98,825",2023
0,0,"119,482","119,482","34,978",2023
"1,960","1,960","11,309","11,309",489,2023
"16,941","16,941","17,719","17,719",765,2023
0,0,"3,101,311","3,101,311","908,942",2023
0,0,"11,475,085","11,475,085","3,363,155",2023
0,0,"4,250,371","4,250,371","1,245,713",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
"3,230,909","3,230,909","3,324,700","3,324,700","261,671",2023
0,0,0,0,0,2023
"12,987,218","12,987,218","13,490,759","13,490,759","1,205,714",2023
"316,485","316,485","5,714,190","5,714,190","514,992",2023
0,0,"19,475","19,475","5,677",2023
0,0,"10,252","10,252","2,998",2023
0,0,0,0,"917,298",2023
"18,420,303","18,420,303","18,930,259","18,930,259","1,953,390",2023
"627,239","627,239","644,365","644,365","44,524",2023
"528,543","528,543","8,976,071","8,976,071","701,813",2023
0,0,"513,971","513,971","150,636",2023
"1,780,832","1,780,832","1,830,033","1,830,033","169,122",2023
0,0,0,0,0,2023
0,0,"135,323","135,323","39,661",2023
0,0,"10,675","10,675","3,129",2023
0,0,"401,472","401,472","117,665",2023
0,0,"343,015","343,015","100,532",2023
0,0,0,0,"100,532",2023
0,0,"715,377","715,377","209,665",2023
0,0,0,0,0,2023
0,0,0,0,0,2023
0,0,"159,494","159,494","46,682",2023
0,0,"338,724","338,724","99,274",2023
0,0,"801,444","801,444","234,890",2023
0,0,"2,560,538","2,560,538","750,451",2023
0,0,"1,454,193","1,454,193","426,200",2023
0,0,0,0,0,2023
0,0,0,0,"114,954",2023
0,0,0,0,0,2023
"3,475,386","3,475,386","3,561,063","3,561,063","289,577",2023
0,0,0,0,0,2023
"495,494","495,494","509,249","509,249","41,108",2023
0,0,0,0,0,2023
0,0,"84,676,209","84,676,209","8,101,628",2023
0,0,"107,672,537","107,672,537","10,301,865",2023
0,0,"8,613","8,613","2,524",2023
0,0,"24,707","24,707","7,241",2023
0,0,"629,037","629,037","184,360",2023
0,0,"1,670,866","1,670,866","489,703",2023
0,0,"777,206","777,206","227,786",2023
0,0,"246,407","246,407","72,217",2023
0,0,"500,016","500,016","146,546",2023
